X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedOnDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedOnDateTime,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,CreatedOn,ModifiedOn,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,GlobalID,ModifiedOnDateTime_dt,CreatedOnDateTime_dt
-101.844010541,47.6564076660001,5860,,DEFAULT,,,,1598646967023,,,,,,,,,,,,,,H78W,,2014/07/12 20:00:00,,,,,,,,,NRCC,,,,,,KNOTS LANDING,,WF,FI,,,,,{8C221756-4798-4373-94A0-714C8DE58020},,0,0,0,0,0,0,,1,000051,1599854319687,,,,McLean,,38055,,NDFBA,,BIA,Federal,,,,,,,,,NDFBA,US-ND,,,,,,2014-NDFBA-000051,,wildcad,wildcad,2014/07/13 15:50:42,2014/07/13 15:51:08,,,,{F0A9044F-2759-414D-B1C3-32910E69FA7F},2020/09/11 19:58:39,2020/08/28 20:36:07
-116.6745,33.62128,122918,,DEFAULT,,,,1562107910830,1,1,CASBCC,,,,,,,,Unknown,,,,,2018/03/29 20:50:11,,,,,,,,,OSCC,,,,,,THOMAS MOUNTAIN PILE BURN,,RX,FI,33.62128,-116.6745,,,{DC33C66E-1352-4A99-B8B7-D5258BF9E2E8},,0,0,0,0,0,0,,1,005397,1599780938757,,,,Riverside,CARRCC,06065,FS,CABDF,,,,,,,,,,SC11,FS,CABDF,US-CA,,,,,,2018-CABDF-005397,No Decision,wildcad,wildcad,2019/07/02 22:51:50,2019/07/02 22:51:50,0,,,{1546717E-D6A1-4C76-8400-7206461FB895},2020/09/10 23:35:38,2019/07/02 22:51:50
-114.4972,46.91157,136868,,DEFAULT,,,,1569511087030,114,1,MTMDC,,,,,,,,Unknown,,,,,2019/09/26 14:59:44,,,,,,,,,NRCC,,,,,,Eds Ridge 1,,RX,FI,46.91157,-114.4972,50,,{11BFEC10-A684-41C2-AFA8-4DE9BC619F6E},,0,0,0,0,0,0,,1,002213,1599057690720,,,,Missoula,MTMDC,30063,FS,MTLNF,,,,,,,,,,NR04,FS,MTLNF,US-MT,,,,,,2019-MTLNF-002213,No Decision,wildcad,wildcad,2019/09/26 15:18:07,2019/09/26 15:18:07,0,,,{97944C6F-23C4-4C14-92F1-B45BB87B893D},2020/09/02 14:41:30,2019/09/26 15:18:07
-113.4128,45.12722,141036,,DEFAULT,,,,1573572496540,0.5,5,MTDDC,,,,,,,,Human,,,MX3F,,2019/11/09 21:17:59,,,,,,,,1502,NRCC,,,,,,Selway,,WF,FI,45.16296,-113.4081,0.5,,{929FEE0C-D482-4579-B8DE-43F5415A154E},,0,1,0,0,0,0,,1,006409,1600023868567,,,,Beaverhead,MTDDC,30001,FS,MTBDF,,USFS,Federal,,,,,,,NR09,,MTCES,US-MT,,,,,,2019-MTCES-006409,No Decision,wildcad,wildcad,2019/11/12 15:28:16,2019/11/12 16:14:39,0,,,{52537136-ED03-4760-921F-41125BD2688D},2020/09/13 19:04:28,2019/11/12 15:28:16
-109.8264,45.63462,143410,,DEFAULT,,,,1578426320857,1,1,MTBZC,,,,,,,,Unknown,,,,,2020/01/07 19:44:48,,,,,,,,,NRCC,,,,,,PACKSADDLE UNIT OF SWEETGRASS PROJECT,,RX,FI,45.63462,-109.8264,,,{955D0702-F524-42F2-B4B8-5CA832D46F91},,0,0,0,0,0,0,,1,000014,1599870039277,,,,Sweet Grass,MTBZC,30097,FS,MTCGF,,,,,,,,,,NR12,FS,MTCGF,US-MT,,,,,,2020-MTCGF-000014,No Decision,wildcad,wildcad,2020/01/07 19:45:20,2020/01/07 19:45:20,0,,,{1ECFE27B-6BD5-4AD6-A32D-AAE028BC3CF5},2020/09/12 00:20:39,2020/01/07 19:45:20
-110.0744,45.54156,143412,,DEFAULT,,,,1578426704327,1,1,MTBZC,,,,,,,,Unknown,,,,,2020/01/07 19:51:26,,,,,,,,,NRCC,,,,,,DEAD DEER,,RX,FI,45.54156,-110.0744,,,{0B1131F1-6A9C-4A82-98AB-9656ACF7AB62},,0,0,0,0,0,0,,1,000017,1599923403867,,,,Sweet Grass,MTBZC,30097,FS,MTCGF,,,,,,,,,,NR12,FS,MTCGF,US-MT,,,,,,2020-MTCGF-000017,No Decision,wildcad,wildcad,2020/01/07 19:51:44,2020/01/07 19:51:44,0,,,{53E69E63-D97F-4217-92DC-F0006EA6858E},2020/09/12 15:10:03,2020/01/07 19:51:44
-155.82,20.026667,143628,,DEFAULT,20.3,,,1578630266223,20.3,,CAMNFC,,,,,,,,Human,Other Human Cause,Motor Vehicles,MZY8,,2020/01/09 23:58:00,,,,,,,,,ONCC,,,,,,KALAUPAPA,,WF,FI,,,,2020/01/09 23:58:00,{25F780E9-FDA5-4E3C-AC9F-4CA0876D3EB2},1,0,0,1,0,0,0,,1,2000001,1599686351180,,,,Hawaii,CAMNFC,15001,NPS,HIPHP,,NPS,Federal,,,,,,,,NPS,HIPHP,US-HI,Grass,GR5,,,,2020-HIPHP-2000001,No Decision,firecode,INFORM_Inspector,2020/01/10 04:24:26,2020/01/10 16:21:12,0,,,{50714CCC-C3E4-4356-B981-E204633516BF},2020/09/09 21:19:11,2020/01/10 04:24:26
-97.38892,26.23664,149545,,DEFAULT,,,,1579625896697,1200,1,TXTIC,,,,,,,,Unknown,,,,,2020/01/21 16:55:28,,,,,,,,,SACC,,,,,,Bahia Grande Unit 8,,RX,FI,26.23664,-97.38892,,,{289EDF3F-D45E-4D38-8631-BD1CF768BF3E},,0,0,0,0,0,0,,1,000017,1599070105300,,,,Cameron,TXTIC,48061,FWS,TXLGR,,,,,,,,,,SA15,FWS,TXLGR,US-TX,,,,,,2020-TXLGR-000017,No Decision,wildcad,wildcad,,,,,,{7C07C453-717D-4CD1-8148-6063DA07B2E1},2020/09/02 18:08:25,2020/01/21 16:58:16
-139.570833,59.443889,167260,,DEFAULT,,,,1591737603920,0.2,0.2,AKTNFC,,,,,,,,Human,Other Human Cause,,M6AC,,2020/06/06 21:00:00,,,,,,,P0,1005,AICC,,,,,,Situk River,,WF,FI,59.443889,-139.570833,0.17,,{F456CB23-BEA9-406B-B816-9C7ADD60D8BE},,0,1,0,0,0,0,,1,000210,1599857213423,,,,Yakutat,AKTNFC,02282,,,,,,,,,,,,AK15,FS,AKTNF,US-AK,Grass,GR1,,,,2020-AKTNF-000210,No Decision,wildcad,wildcad,,,,,,{7E7E5B40-12A1-4A3E-A04D-93EE1A95CD62},2020/09/11 20:46:53,2020/06/09 21:20:03
-88.98433,31.05344,167840,,DEFAULT,,,,1592054083250,79,79,MSMIC,,,,,,,,Unknown,,,,,2020/06/13 13:14:06,,,,,,,,,SACC,,,,,,DE SOTO BB 15512,,RX,FI,31.05344,-88.98433,,,{12657CB0-A4FA-4261-8E2B-EE337E4B7C76},,0,0,0,0,0,0,,1,000195,1599825731073,,,,Perry,MSMIC,28111,FS,MSMNF,,,,,,,,,,SA22A,FS,MSMNF,US-MS,,,,,,2020-MSMNF-000195,No Decision,wildcad,wildcad,,,,,,{7CCD471E-10D0-405E-9C79-98B4CC7AE0F3},2020/09/11 12:02:11,2020/06/13 13:14:43
